Title,ISBN
"Congress investigates : a documented history, 1792-1974 /",9780835208147;0835208141
"Congress investigates : a documented history, 1792-1974 /",9780835208161;0835208168
The rise of the republic of the United States /,
The constitutional history of the United States /,
The constitutional and political history of the United States /,
The constitutional and political history of the United States /,
The constitutional and political history of the United States /,
The constitutional and political history of the United States /,
The constitutional and political history of the United States /,
The garden and the wilderness : religion and government in American constitutional history /,
A constitutional history of the United States /,
Quarrels that have shaped the constitution /,9780061320842;0061320846
"A constitutional history of the American people, 1776-1850 /",
A short constitutional history of the United States /,
"The federal and state constitutions, colonial charters, and other organic laws of the states, territories, and colonies now or heretofore forming the United States of America /",
The making of the constitution /,
Divided we stand : the crisis of a frontierless democracy /,
"The dominion of war : empire and conflict in America, 1500-2000 /",9781903809730;1903809738
Americans at war /,9781578060269;1578060265
A history of the medical department of the United States army /,
Aspects of war in American history /,9781853311772;1853311774
The rockets' red glare : when America goes to war : the Presidents and the people /,9780671732875;0671732870
American military policy : its development since 1775 /,
"History of the United States Cavalry from the formation of the Federal Government to the 1st of June, 1863 /",
The American army /,
Citizens in Arms : the Army and the Militia in American Society to the War of 1812 /,9780807815083;080781508X
Fighting fools /,
America at war : concise histories of U.S. military conflicts from Lexington to Afghanistan /,0425268586;9780425268582
The decisive battles of the United States /,
The history of the United States army /,
"Historical register and dictionary of the United States Army, from its organization, September 29, 1789, to March 2, 1903 /",
The sinews of war : army logistics 1775-1953 /,
The beginning of the U.S. army 1783-1812 /,
Sacred ground : Americans and their battlefields /,9780252017834;0252017838;9780252061714;0252061713
Above the battle : war-making in America from Appomattox to Versailles /,9780195022391;0195022394
The volunteer soldier of America /,
For the common defense : a military history of the United States of America /,9780029215814;0029215811
Armies and men : a study in American military history /,
The Oxford companion to American military history /,9780195071986;0195071980
A country made by war : from the Revolution to Vietnam : the story of America's rise to power /,9780679726982;0679726985
"The revolutionary war : a concise military history of America's war for independence : adapted from American military history, Office of the Chief of Military History, United States Army /",9780679513759;0679513752
Quartermaster support of the army : a history of the Corps 1775-1939 /,
"The spirit of old West Point, 1858-1862 /",
Inevitable war /,
The life and memoirs of Comte Regis de Trobriand /,
"The centennial of the United States Military Academy at West Point, New York, 1802-1902.",1153362376;9781153362375
"The centennial of the United States Military Academy at West Point, New York, 1802-1902.",
The military policy of the United States /,
"The Department of War, 1781-1795 /",
When Johnny comes marching home /,
History of the United States army /,
The American military : readings in the history of the military in American society /,
The American way of war : a history of United States military strategy and policy /,
Towards an American army : military thought from Washington to Marshall /,
The History of American Wars from 1745-1918 /,9780394511672;0394511670
